id	clade	short-clade	subclade	country	iso_3166_1_alpha2
A/South_Africa/R06747/2023	3C.2a1b.2a.2a.3a.1	2a.3a.1	J	South Africa	ZA
A/South_Africa/R05557/2023	3C.2a1b.2a.2a.1b	2a.1b	G.1.1.2	South Africa	ZA
A/South_Africa/R05556/2023	3C.2a1b.2a.2a.3a.1	2a.3a.1	J	South Africa	ZA
A/South_Africa/R05554/2023	3C.2a1b.2a.2a.3a.1	2a.3a.1	J	South Africa	ZA
A/South_Africa/R05547/2023	3C.2a1b.2a.2a.3a.1	2a.3a.1	J	South Africa	ZA
A/South_Africa/R05546/2023	3C.2a1b.2a.2a.3a.1	2a.3a.1	J	South Africa	ZA
A/South_Africa/R05544/2023	3C.2a1b.2a.2a.3a.1	2a.3a.1	J	South Africa	ZA
A/South_Africa/R05541/2023	3C.2a1b.2a.2a.3a.1	2a.3a.1	J	South Africa	ZA
A/South_Africa/R05522/2023	3C.2a1b.2a.2a.3a.1	2a.3a.1	J	South Africa	ZA
A/South_Africa/K056874/2023	3C.2a1b.2a.2a.3a.1	2a.3a.1	J	South Africa	ZA
A/South_Africa/K056873/2023	3C.2a1b.2a.2a.3a.1	2a.3a.1	J	South Africa	ZA
A/South_Africa/K056872/2023	3C.2a1b.2a.2a.3a.1	2a.3a.1	J	South Africa	ZA
A/South_Africa/K056869/2023	3C.2a1b.2a.2a.3a.1	2a.3a.1	J	South Africa	ZA
A/South_Africa/K056867/2023	3C.2a1b.2a.2a.3a.1	2a.3a.1	J	South Africa	ZA
A/South_Africa/K056866/2023	3C.2a1b.2a.2a.3a.1	2a.3a.1	J	South Africa	ZA
A/South_Africa/K056865/2023	3C.2a1b.2a.2a.3a.1	2a.3a.1	J	South Africa	ZA
A/Lusaka/04-NIC-464/2023	3C.2a1b.2a.2a.3a.1	2a.3a.1	J	Zambia	ZM
A/Lusaka/04-NIC-450/2023	3C.2a1b.2a.2a.3a.1	2a.3a.1	J	Zambia	ZM
A/SouthAfrica/PET27763/2023	3C.2a1b.2a.2b	2b	G.2	South Africa	ZA
A/SouthAfrica/PET27107/2023	3C.2a1b.2a.2b	2b	G.2	South Africa	ZA
A/South_Africa/R06587/2023	3C.2a1b.2a.2a.3a.1	2a.3a.1	J	South Africa	ZA
A/South_Africa/R06586/2023	3C.2a1b.2a.2a.3a.1	2a.3a.1	J	South Africa	ZA
A/South_Africa/R06585/2023	3C.2a1b.2a.2a.3a.1	2a.3a.1	J	South Africa	ZA
A/South_Africa/R06584/2023	3C.2a1b.2a.2a.3a.1	2a.3a.1	J	South Africa	ZA
A/South_Africa/R06582/2023	3C.2a1b.2a.2a.3a.1	2a.3a.1	J	South Africa	ZA
A/South_Africa/R06579/2023	3C.2a1b.2a.2a.3a.1	2a.3a.1	J	South Africa	ZA
A/South_Africa/R06349/2023	3C.2a1b.2a.2a.3a.1	2a.3a.1	J	South Africa	ZA
A/South_Africa/R06564/2023	3C.2a1b.2a.2a.3a.1	2a.3a.1	J	South Africa	ZA
A/South_Africa/R06347/2023	3C.2a1b.2a.2a.1b	2a.1b	G.1.1.2	South Africa	ZA
A/South_Africa/R06551/2023	3C.2a1b.2a.2a.3a.1	2a.3a.1	J	South Africa	ZA
A/South_Africa/R06346/2023	3C.2a1b.2a.2a.1b	2a.1b	G.1.1.2	South Africa	ZA
A/South_Africa/R06535/2023	3C.2a1b.2a.2a.3a.1	2a.3a.1	J	South Africa	ZA
A/South_Africa/R06345/2023	3C.2a1b.2a.2a.3a.1	2a.3a.1	J	South Africa	ZA
A/South_Africa/R06534/2023	3C.2a1b.2a.2a.1b	2a.1b	G.1.1.2	South Africa	ZA
A/South_Africa/R06342/2023	3C.2a1b.2a.2a.3a.1	2a.3a.1	J	South Africa	ZA
A/South_Africa/R06533/2023	3C.2a1b.2a.2a.3a.1	2a.3a.1	J	South Africa	ZA
A/South_Africa/R06340/2023	3C.2a1b.2a.2a.1b	2a.1b	G.1.1.2	South Africa	ZA
A/South_Africa/R06532/2023	3C.2a1b.2a.2a.3a.1	2a.3a.1	J	South Africa	ZA
A/South_Africa/R06332/2023	3C.2a1b.2a.2a.3a.1	2a.3a.1	J	South Africa	ZA
