id	clade	short-clade	subclade	country	iso_3166_1_alpha2
A/Ghana/FS-24-7922/2024	3C.2a1b.2a.2a.3a.1	2a.3a.1	J.2	Ghana	GH
A/Ghana/FS-24-7888/2024	3C.2a1b.2a.2a.3a.1	2a.3a.1	J.2	Ghana	GH
A/Ghana/FS-24-7838/2024	3C.2a1b.2a.2a.3a.1	2a.3a.1	J.2	Ghana	GH
A/Ghana/ARI-24-1973/2024	3C.2a1b.2a.2a.3a.1	2a.3a.1	J.2	Ghana	GH
A/South_Africa/R08893/2024	3C.2a1b.2a.2a.3a.1	2a.3a.1	J.2.2	South Africa	ZA
A/South_Africa/R08791/2024	3C.2a1b.2a.2a.3a.1	2a.3a.1	J.2	South Africa	ZA
A/South_Africa/R08619/2024	3C.2a1b.2a.2a.3a.1	2a.3a.1	J.2	South Africa	ZA
A/South_Africa/R05672/2024	3C.2a1b.2a.2a.3a.1	2a.3a.1	J.2	South Africa	ZA
A/South_Africa/R04903/2024	3C.2a1b.2a.2a.3a.1	2a.3a.1	J.2	South Africa	ZA
A/Zambia/0184/2024	3C.2a1b.2a.2a.3a.1	2a.3a.1	J.2	Zambia	ZM
A/Zambia/0164/2024	3C.2a1b.2a.2a.3a.1	2a.3a.1	J.2	Zambia	ZM
A/Zambia/0141/2024	3C.2a1b.2a.2a.3a.1	2a.3a.1	J.2	Zambia	ZM
A/Zambia/0225/2024	3C.2a1b.2a.2a.3a.1	2a.3a.1	J.2	Zambia	ZM
A/Zambia/0131/2024	3C.2a1b.2a.2a.3a.1	2a.3a.1	J.2	Zambia	ZM
A/Zambia/0238/2024	3C.2a1b.2a.2a.3a.1	2a.3a.1	J.2	Zambia	ZM
A/Ghana/ARI-24-1850/2024	3C.2a1b.2a.2a.3a.1	2a.3a.1	J.2	Ghana	GH
A/Ghana/ARI-24-1819/2024	3C.2a1b.2a.2a.3a.1	2a.3a.1	J.2	Ghana	GH
A/Ghana/1036/2024	3C.2a1b.2a.2a.3a.1	2a.3a.1	J.2	Ghana	GH
A/Ghana/1812/2024	3C.2a1b.2a.2a.3a	2a.3a	G.1.3.1	Ghana	GH
A/Ghana/1740/2024	3C.2a1b.2a.2a.3a	2a.3a	G.1.3.1	Ghana	GH
A/South_Africa/R01967/2024	3C.2a1b.2a.2a.3a.1	2a.3a.1	J.2.1	South Africa	ZA
A/Kenya/117/2024	3C.2a1b.2a.2a.3a.1	2a.3a.1	J	Kenya	KE
A/Kenya/118/2024	3C.2a1b.2a.2a.3a.1	2a.3a.1	J.2	Kenya	KE
A/Kenya/123/2024	3C.2a1b.2a.2a.3a.1	2a.3a.1	J	Kenya	KE
A/Kenya/122/2024	3C.2a1b.2a.2a.3a.1	2a.3a.1	J.2	Kenya	KE
